name,url,,topic1,topic2,topic3,topic4,topic5
House Veterans' Affairs Committee: Website News,https://veterans.house.gov/news/,,,,,,
House Veterans' Affairs Committee: Committee Activity,https://www.congress.gov/committee/house-veterans-affairs/hsvr00,,,,,,
House Ways and Means Committee: Website News,https://waysandmeans.house.gov/news/,,,,,,
House Ways and Means Committee: Committee Activity,https://www.congress.gov/committee/house-ways-and-means/hswm00,,,,,,
"Senate Agriculture, Nutrition, and Forestry Committee: Website News",https://www.agriculture.senate.gov/newsroom,,,,,,
"Senate Agriculture, Nutrition, and Forestry Committee: Committee Activity",https://www.congress.gov/committee/senate-agriculture-nutrition-and-forestry/ssaf00,,,,,,
Senate Appropriations Committee: Website News,https://www.appropriations.senate.gov/news/majority,,,,,,
Senate Appropriations Committee: Committee Activity,https://www.congress.gov/committee/senate-appropriations/ssap00,,,,,,
Senate Armed Services Committee: Website News,https://www.armed-services.senate.gov/press-releases,,,,,,
Senate Armed Services Committee: Committee Activity,https://www.congress.gov/committee/senate-armed-services/ssas00,,,,,,
"Senate Banking, Housing, and Urban Affairs Committee: Website News",https://www.banking.senate.gov/newsroom/majority-press-releases,,,,,,
"Senate Banking, Housing, and Urban Affairs Committee: Committee Activity",https://www.congress.gov/committee/senate-banking-housing-and-urban-affairs/ssbk00,,,,,,
Senate Budget Committee: Website News,https://www.budget.senate.gov/,,,,,,
Senate Budget Committee: Committee Activity,https://www.congress.gov/committee/senate-budget/ssbu00,,,,,,
"Senate Commerce, Science, and Transportation Committee: Website News",https://www.commerce.senate.gov/republican-news,,,,,,
"Senate Commerce, Science, and Transportation Committee: Committee Activity",https://www.congress.gov/committee/senate-commerce-science-and-transportation/sscm00,,,,,,
Senate Energy and Natural Resources Committee: Website News,https://www.energy.senate.gov/home,,,,,,
Senate Energy and Natural Resources Committee: Committee Activity,https://www.congress.gov/committee/senate-energy-and-natural-resources/sseg00,,,,,,
Senate Environment and Public Works Committee: Website News,https://www.epw.senate.gov/public/,,,,,,
Senate Environment and Public Works Committee: Committee Activity,https://www.congress.gov/committee/senate-environment-and-public-works/ssev00,,,,,,
